iter	Passed	Remaining
293	614	1476
294	616	1473
295	618	1471
296	620	1469
297	623	1468
298	625	1466
299	627	1464
300	629	1462
301	631	1459
302	633	1457
303	635	1455
304	637	1452
305	639	1450
306	641	1447
307	643	1444
308	645	1442
309	647	1441
310	649	1438
311	651	1436
312	653	1433
313	655	1433
314	658	1431
315	660	1429
316	662	1427
317	664	1425
318	667	1424
319	669	1423
320	671	1420
321	673	1417
322	675	1416
323	678	1414
324	680	1413
325	683	1412
326	685	1410
327	687	1408
328	689	1406
329	691	1404
330	693	1401
331	695	1399
332	697	1397
333	699	1395
334	701	1392
335	703	1390
336	705	1387
337	707	1385
338	709	1383
339	711	1380
340	713	1379
341	715	1376
342	717	1374
343	719	1372
344	722	1371
345	725	1370
346	727	1368
347	729	1366
348	731	1364
349	734	1363
350	736	1361
351	738	1359
352	740	1357
353	743	1355
354	745	1354
355	747	1352
356	749	1350
357	752	1348
358	754	1347
359	756	1345
360	758	1343
361	760	1340
362	762	1338
363	764	1336
364	766	1334
365	768	1331
366	770	1329
367	772	1327
368	774	1324
369	776	1322
370	778	1319
371	780	1317
372	782	1314
373	784	1313
374	786	1311
375	788	1309
376	790	1306
377	792	1304
378	794	1301
379	796	1299
380	798	1297
381	800	1294
382	802	1292
383	804	1290
384	806	1288
385	808	1286
386	811	1284
387	813	1282
388	814	1279
389	816	1277
390	818	1275
391	821	1274
392	824	1272
393	826	1270
394	828	1268
395	830	1266
396	832	1264
397	834	1262
398	836	1260
399	838	1257
400	840	1255
401	842	1253
402	844	1251
403	846	1249
404	848	1247
405	850	1244
406	853	1243
407	855	1241
408	857	1238
409	859	1237
410	862	1235
411	864	1233
412	866	1231
413	868	1229
414	870	1227
415	873	1225
416	875	1224
417	878	1222
418	880	1220
419	882	1218
420	884	1215
421	886	1213
422	888	1212
423	890	1209
424	892	1207
425	894	1205
426	896	1203
427	898	1201
428	900	1198
429	902	1196
430	905	1195
431	907	1193
432	909	1191
433	911	1188
434	913	1186
435	915	1184
436	917	1182
437	919	1180
438	922	1178
439	924	1176
440	926	1174
441	928	1172
442	931	1171
443	933	1169
444	935	1166
445	937	1164
446	939	1162
447	941	1160
448	943	1158
449	945	1156
450	947	1153
451	950	1152
452	952	1150
453	954	1147
454	956	1145
455	958	1143
456	960	1141
457	962	1139
458	964	1137
459	966	1134
460	968	1132
461	970	1130
462	972	1128
463	975	1126
464	977	1124
465	979	1122
466	981	1119
467	983	1117
468	985	1115
469	987	1114
470	990	1112
471	991	1109
472	993	1107
473	995	1105
474	998	1103
475	1000	1101
476	1002	1099
477	1004	1097
478	1006	1095
479	1008	1092
480	1010	1090
481	1012	1088
482	1014	1086
483	1016	1083
484	1018	1081
485	1022	1081
486	1024	1079
487	1026	1077
488	1028	1075
489	1030	1072
490	1032	1070
491	1034	1068
492	1036	1066
493	1038	1063
494	1040	1061
495	1042	1059
496	1044	1057
497	1046	1055
498	1048	1053
499	1051	1051
500	1053	1049
501	1055	1047
502	1057	1045
503	1059	1042
504	1061	1040
505	1063	1038
506	1065	1036
507	1067	1034
508	1069	1031
509	1071	1029
510	1073	1027
511	1075	1025
512	1078	1023
513	1080	1021
514	1082	1019
515	1084	1017
516	1086	1015
517	1088	1012
518	1090	1010
519	1092	1008
520	1094	1006
521	1096	1004
522	1098	1002
523	1100	999
524	1102	997
525	1105	995
526	1107	993
527	1109	991
528	1111	989
529	1113	987
530	1115	985
531	1117	982
532	1119	980
533	1121	978
534	1123	976
535	1125	973
536	1127	971
537	1128	969
538	1130	967
539	1133	965
540	1135	963
541	1137	960
542	1139	958
543	1141	956
544	1143	954
545	1145	952
546	1147	950
547	1150	948
548	1152	946
549	1154	944
550	1156	942
551	1158	940
552	1160	938
553	1162	936
554	1165	934
555	1167	931
556	1169	929
557	1170	927
558	1172	925
559	1174	923
560	1176	920
561	1178	918
562	1180	916
563	1183	914
564	1185	912
565	1187	910
566	1189	908
567	1191	905
568	1193	903
569	1195	901
570	1197	899
571	1199	897
572	1201	895
573	1203	893
574	1205	891
575	1207	889
576	1210	887
577	1212	885
578	1214	883
579	1217	881
580	1219	879
581	1221	877
582	1223	875
583	1226	873
584	1228	871
585	1230	868
586	1231	866
587	1233	864
588	1235	862
589	1237	860
590	1239	857
591	1241	855
592	1244	853
593	1245	851
594	1248	850
595	1250	847
596	1253	845
597	1255	843
598	1257	841
599	1259	839
600	1261	837
601	1263	835
602	1265	833
603	1267	830
604	1269	828
605	1271	826
606	1273	824
607	1276	822
608	1278	820
609	1280	818
610	1282	816
611	1284	814
612	1286	811
613	1288	809
614	1290	807
615	1292	805
616	1294	803
617	1296	801
618	1298	799
619	1300	797
620	1302	794
621	1304	792
622	1306	790
623	1308	788
624	1310	786
625	1312	783
626	1314	781
627	1316	779
628	1319	778
629	1321	775
630	1323	773
631	1325	771
632	1327	769
633	1328	767
634	1330	765
635	1332	762
636	1334	760
637	1336	758
638	1338	756
639	1340	754
640	1342	751
641	1345	750
642	1347	748
643	1349	746
644	1351	744
645	1354	742
646	1356	739
647	1358	737
648	1360	735
649	1361	733
650	1363	731
651	1365	728
652	1367	726
653	1369	724
654	1371	722
655	1373	720
656	1375	718
657	1377	716
658	1380	714
659	1382	712
660	1384	709
661	1386	707
662	1388	705
663	1390	703
664	1392	701
665	1394	699
666	1396	697
667	1398	695
668	1401	693
669	1403	691
670	1405	689
671	1407	687
672	1410	685
673	1411	682
674	1414	680
675	1415	678
676	1418	676
677	1420	674
678	1422	672
679	1424	670
680	1426	668
681	1429	666
682	1431	664
683	1433	662
684	1436	660
685	1437	658
686	1439	656
687	1441	653
688	1443	651
689	1446	649
690	1448	647
691	1450	645
692	1452	643
693	1454	641
694	1456	638
695	1458	636
696	1460	634
697	1462	632
698	1464	630
699	1466	628
700	1468	626
701	1469	624
702	1471	621
703	1473	619
704	1476	617
705	1478	615
706	1480	613
707	1482	611
708	1484	609
709	1486	607
710	1488	604
711	1490	602
712	1492	600
713	1494	598
714	1497	596
715	1499	594
716	1501	592
717	1503	590
718	1506	588
719	1507	586
720	1509	584
721	1512	582
722	1513	580
723	1516	577
724	1518	575
725	1520	573
726	1522	571
727	1524	569
728	1526	567
729	1528	565
730	1530	563
731	1533	561
732	1535	559
733	1537	557
734	1539	554
735	1541	552
736	1543	550
737	1545	548
738	1547	546
739	1550	544
740	1552	542
741	1554	540
742	1556	538
743	1558	536
744	1559	533
745	1561	531
746	1563	529
747	1565	527
748	1567	525
749	1569	523
750	1571	520
751	1573	518
752	1575	516
753	1577	514
754	1579	512
755	1581	510
756	1583	508
757	1585	506
758	1588	504
759	1590	502
760	1592	500
761	1595	498
762	1597	496
763	1599	494
764	1601	491
765	1603	489
766	1605	487
767	1607	485
768	1609	483
769	1611	481
770	1613	479
771	1615	477
772	1617	475
773	1619	472
774	1621	470
775	1623	468
776	1625	466
777	1627	464
778	1629	462
779	1631	460
780	1633	458
781	1635	455
782	1637	453
783	1639	451
784	1641	449
785	1643	447
786	1645	445
787	1647	443
788	1649	441
789	1651	439
790	1654	437
791	1656	434
792	1658	432
793	1659	430
794	1662	428
795	1665	426
796	1667	424
797	1669	422
798	1671	420
799	1673	418
800	1675	416
801	1677	414
802	1679	411
803	1681	409
804	1683	407
805	1685	405
806	1688	403
807	1690	401
808	1692	399
809	1694	397
810	1696	395
811	1698	393
812	1700	391
813	1702	389
814	1704	386
815	1706	384
816	1708	382
817	1710	380
818	1712	378
819	1714	376
820	1717	374
821	1719	372
822	1721	370
823	1723	368
824	1725	365
825	1727	363
826	1730	361
827	1732	359
828	1735	357
829	1737	355
830	1739	353
831	1741	351
832	1744	349
833	1746	347
834	1748	345
835	1750	343
836	1752	341
837	1755	339
838	1757	337
839	1759	335
840	1761	332
841	1763	330
842	1765	328
843	1767	326
844	1769	324
845	1771	322
846	1773	320
847	1775	318
848	1777	316
849	1780	314
850	1782	312
851	1784	309
852	1786	307
853	1788	305
854	1790	303
855	1792	301
856	1794	299
857	1796	297
858	1798	295
859	1800	293
860	1803	291
861	1805	289
862	1807	286
863	1810	284
864	1812	282
865	1814	280
866	1816	278
867	1818	276
868	1820	274
869	1822	272
870	1824	270
871	1826	268
872	1829	266
873	1831	264
874	1833	261
875	1835	259
876	1837	257
877	1839	255
878	1841	253
879	1843	251
880	1846	249
881	1848	247
882	1850	245
883	1852	243
884	1854	240
885	1856	238
886	1858	236
887	1860	234
888	1862	232
889	1865	230
890	1867	228
891	1868	226
892	1870	224
893	1872	222
894	1874	219
895	1876	217
896	1879	215
897	1881	213
898	1883	211
899	1885	209
900	1887	207
901	1889	205
902	1891	203
903	1893	201
904	1895	198
905	1897	196
906	1899	194
907	1900	192
908	1902	190
909	1904	188
910	1907	186
911	1909	184
912	1911	182
913	1914	180
914	1916	178
915	1918	175
916	1920	173
917	1922	171
918	1924	169
919	1926	167
920	1928	165
921	1931	163
922	1932	161
923	1935	159
924	1937	157
925	1939	154
926	1941	152
927	1943	150
928	1945	148
929	1947	146
930	1949	144
931	1951	142
932	1953	140
933	1955	138
934	1957	136
935	1959	133
936	1961	131
937	1963	129
938	1965	127
939	1967	125
940	1969	123
941	1971	121
942	1973	119
943	1976	117
944	1978	115
945	1980	113
946	1982	110
947	1984	108
948	1986	106
949	1988	104
950	1991	102
951	1993	100
952	1995	98
953	1997	96
954	1999	94
955	2001	92
956	2003	90
957	2005	87
958	2007	85
959	2009	83
960	2012	81
961	2014	79
962	2016	77
963	2018	75
964	2020	73
965	2022	71
966	2024	69
967	2027	67
968	2029	64
969	2031	62
970	2034	60
971	2036	58
972	2038	56
973	2041	54
974	2043	52
975	2045	50
976	2048	48
977	2050	46
978	2052	44
979	2054	41
980	2057	39
981	2059	37
982	2061	35
983	2063	33
984	2065	31
985	2068	29
986	2070	27
987	2072	25
988	2074	23
989	2076	20
990	2078	18
991	2080	16
992	2082	14
993	2084	12
994	2086	10
995	2088	8
996	2091	6
997	2093	4
998	2095	2
999	2097	0
