iter	RMSE
0	475.5990616
1	452.3228634
2	430.8770333
3	410.1853961
4	391.7724116
5	374.0400256
6	358.7706959
7	344.4215458
8	331.1324464
9	318.5846164
10	306.896117
11	295.7441322
12	286.3082738
13	277.6255487
14	267.5527299
15	258.3967548
16	250.8064418
17	244.0771137
18	238.3505878
19	232.7901376
20	225.9232245
21	220.0980871
22	214.2346757
23	209.5740405
24	205.082835
25	201.1623982
26	197.943991
27	193.5554387
28	189.2209502
29	184.9560566
30	181.8370148
31	178.1379103
32	175.2283003
33	172.4205686
34	169.4410313
35	167.0914094
36	164.2064763
37	161.7540914
38	159.3213022
39	156.9617492
40	154.7077672
41	152.4531865
42	150.7896872
43	148.838519
44	147.316814
45	145.5047993
46	143.8326802
47	142.3166055
48	141.103069
49	139.3158516
50	137.884217
51	136.5264035
52	135.1938224
53	134.0938496
54	132.655194
55	131.3356089
56	130.347532
57	129.1596741
58	128.3442431
59	127.6125193
60	126.5479172
61	125.5790976
62	124.4540292
63	123.4228507
64	122.5339764
65	121.6356176
66	120.6710746
67	119.8206391
68	118.9189025
69	117.9597402
70	117.1240791
71	116.3283242
72	115.6330489
73	114.9020899
74	114.1422111
75	113.4666375
76	112.9333006
77	111.8946629
78	111.1974392
79	110.410108
80	109.8458983
81	109.0331874
82	108.2430228
83	107.5536033
84	106.7542557
85	106.1860633
86	105.5644737
87	104.9325437
88	104.278306
89	103.7838589
90	103.1316478
91	102.2723601
92	101.4848115
93	100.9499985
94	100.298902
95	99.65600901
96	99.07884102
97	98.49913804
98	98.09103886
99	97.35922236
100	96.88226851
101	96.3143936
102	95.75399388
103	95.08046433
104	94.53885458
105	93.95857828
106	93.41933133
107	92.92340306
108	92.41321812
109	91.89735726
110	91.32183092
111	90.91378612
112	90.48365045
113	89.97120541
114	89.43163937
115	89.1335293
116	88.60733637
117	87.96578287
118	87.55940288
119	86.93917411
120	86.53859425
121	85.97016251
122	85.57059253
123	85.22701504
124	84.69802862
125	84.26885595
126	83.82762329
127	83.54344121
128	83.19274232
129	82.70511891
130	82.36128277
131	81.82456526
132	81.45270087
133	81.08423605
134	80.72353091
135	80.38543055
136	79.99135048
137	79.54650651
138	79.23308179
139	78.75003309
140	78.36846105
141	77.92918261
142	77.53996605
143	77.18980168
144	76.83379636
145	76.51015319
146	76.22224202
147	75.86640152
148	75.54672183
149	75.08388813
150	74.73552399
151	74.32379664
152	74.02944638
153	73.59782968
154	73.27957199
155	72.92976655
156	72.6633024
157	72.25066241
158	72.02560197
159	71.63785117
160	71.32196381
161	71.02361222
162	70.62450518
163	70.35411606
164	70.12020772
165	69.88965462
166	69.5181307
167	69.30773648
168	68.99516229
169	68.68230678
170	68.35551046
171	68.01019892
172	67.74393366
173	67.41854711
174	67.19762423
175	66.81517305
176	66.57758014
177	66.35783453
178	66.12318394
179	65.77391759
180	65.463899
181	65.19348045
182	64.8750501
183	64.68372292
184	64.41672229
185	64.12924981
186	63.94524082
187	63.64582816
188	63.43661877
189	63.11979198
190	62.79583181
191	62.52167499
192	62.30926788
193	62.10471609
194	61.9045581
195	61.71439683
196	61.48227748
197	61.22241732
198	60.94061433
199	60.69854801
200	60.46971454
201	60.31062121
202	60.10604501
203	59.86421226
204	59.6778541
205	59.45817661
206	59.2605434
207	59.07341783
208	58.79785396
209	58.55451757
210	58.31923362
211	58.1529473
212	57.89998157
213	57.69549988
214	57.46641726
215	57.23422342
216	57.02642153
217	56.78619943
218	56.5833665
219	56.3489281
220	56.13863811
221	55.94917667
222	55.77247471
223	55.5567418
224	55.33739671
225	55.20112191
226	55.02553042
227	54.86412577
228	54.63823799
229	54.42948611
